"Rk.x","Player","Player_Href.x","Nation.x","Pos.x","Squad.x","Age.x","Born.x","MP_Playing Time","Starts_Playing Time","Min_Playing Time","Mins_Per_90_Playing Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY.x","CrdR.x","xG_Expected.x","npxG_Expected.x","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per 90 Minutes","Ast_Per 90 Minutes","G+A_Per 90 Minutes","G_minus_PK_Per 90 Minutes","G+A_minus_PK_Per 90 Minutes","xG_Per 90 Minutes","xAG_Per 90 Minutes","xG+xAG_Per 90 Minutes","npxG_Per 90 Minutes","npxG+xAG_Per 90 Minutes","Matches.x","url.x","Rk.y","Player_Href.y","Nation.y","Pos.y","Squad.y","Age.y","Born.y","Mins_Per_90.x","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected.y","npxG_Expected.y","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Matches.y","url.y","Rk.x.x","Player_Href.x.x","Nation.x.x","Pos.x.x","Squad.x.x","Age.x.x","Born.x.x","Mins_Per_90.y","CrdY.y","CrdR.y","2CrdY","Fls","Fld","Off","Crs","Int.x","TklW","PKwon","PKcon","OG","Recov","Won_Aerial Duels","Lost_Aerial Duels","Won_percent_Aerial Duels","Matches.x.x","url.x.x","Rk.y.y","Player_Href.y.y","Nation.y.y","Pos.y.y","Squad.y.y","Age.y.y","Born.y.y","Mins_Per_90.x.x","SCA_SCA","SCA90_SCA","PassLive_SCA Types","PassDead_SCA Types","TO_SCA Types","Sh_SCA Types","Fld_SCA Types","Def_SCA Types","GCA_GCA","GCA90_GCA","PassLive_GCA Types","PassDead_GCA Types","TO_GCA Types","Sh_GCA Types","Fld_GCA Types","Def_GCA Types","Matches.y.y","url.y.y","Rk","Player_Href","Nation","Pos","Squad","Age","Born","Mins_Per_90.y.y","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int.y","Tkl+Int","Clr","Err","Matches","url"
317,"Jonathan Hogg","/en/players/9306d5ea/Jonathan-Hogg","eng ENG","MF","Huddersfield",34,1988,34,32,2687,29.9,0,1,1,0,0,0,8,1,0.5,0.5,1,1.5,7,127,20,0,0.03,0.03,0,0.03,0.02,0.03,0.05,0.02,0.05,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",317,"/en/players/9306d5ea/Jonathan-Hogg","eng ENG","MF","Huddersfield",34,1988,29.9,0,12,2,16.7,0.4,0.07,0,0,22.5,0,0,0,0.5,0.5,0.04,-0.5,-0.5,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",317,"/en/players/9306d5ea/Jonathan-Hogg","eng ENG","MF","Huddersfield",34,1988,29.9,8,1,1,48,26,0,1,45,51,0,0,0,214,47,34,58,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",317,"/en/players/9306d5ea/Jonathan-Hogg","eng ENG","MF","Huddersfield",34,1988,29.9,52,1.74,43,2,1,2,0,4,3,0.1,2,1,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",317,"/en/players/9306d5ea/Jonathan-Hogg","eng ENG","MF","Huddersfield",34,1988,29.9,83,51,28,46,9,38,67,56.7,29,46,20,26,45,128,61,1,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
318,"Mason Holgate","/en/players/d0042ab9/Mason-Holgate","eng ENG","DF","Southampton",26,1996,5,4,289,3.2,0,0,0,0,0,0,1,0,0,0,0.2,0.3,6,12,1,0,0,0,0,0,0.01,0.07,0.08,0.01,0.08,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",318,"/en/players/d0042ab9/Mason-Holgate","eng ENG","DF","Southampton",26,1996,3.2,0,2,1,50,0.62,0.31,0,0,20.6,0,0,0,0,0,0.02,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",318,"/en/players/d0042ab9/Mason-Holgate","eng ENG","DF","Southampton",26,1996,3.2,1,0,0,2,3,0,2,6,6,0,0,0,11,7,3,70,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",318,"/en/players/d0042ab9/Mason-Holgate","eng ENG","DF","Southampton",26,1996,3.2,2,0.62,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",318,"/en/players/d0042ab9/Mason-Holgate","eng ENG","DF","Southampton",26,1996,3.2,9,6,6,3,0,3,4,75,1,2,1,1,6,15,14,0,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
319,"Duane Holmes","/en/players/47a050ed/Duane-Holmes","us USA","MF,FW","Preston",28,1994,35,25,2106,23.4,4,5,9,4,0,0,9,0,3.6,3.6,2.8,6.4,74,79,105,0.17,0.21,0.38,0.17,0.38,0.15,0.12,0.27,0.15,0.27,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",319,"/en/players/47a050ed/Duane-Holmes","us USA","MF,FW","Preston",28,1994,23.4,4,32,11,34.4,1.37,0.47,0.13,0.36,19.6,1,0,0,3.6,3.6,0.11,0.4,0.4,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",319,"/en/players/47a050ed/Duane-Holmes","us USA","MF,FW","Preston",28,1994,23.4,9,0,0,29,36,2,51,9,24,1,0,0,121,5,23,17.9,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",319,"/en/players/47a050ed/Duane-Holmes","us USA","MF,FW","Preston",28,1994,23.4,62,2.65,50,0,4,2,6,0,11,0.47,10,0,0,0,1,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",319,"/en/players/47a050ed/Duane-Holmes","us USA","MF,FW","Preston",28,1994,23.4,47,24,18,23,6,24,45,53.3,21,21,3,18,9,56,23,1,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
320,"George Honeyman","/en/players/84afeaff/George-Honeyman","eng ENG","MF","Millwall",28,1994,31,26,2081,23.1,0,2,2,0,0,0,9,0,1.1,1.1,2.8,3.9,25,84,62,0,0.09,0.09,0,0.09,0.05,0.12,0.17,0.05,0.17,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",320,"/en/players/84afeaff/George-Honeyman","eng ENG","MF","Millwall",28,1994,23.1,0,10,2,20,0.43,0.09,0,0,13.3,1,0,0,1.1,1.1,0.11,-1.1,-1.1,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",320,"/en/players/84afeaff/George-Honeyman","eng ENG","MF","Millwall",28,1994,23.1,9,0,0,35,36,2,109,26,45,0,0,0,129,6,31,16.2,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",320,"/en/players/84afeaff/George-Honeyman","eng ENG","MF","Millwall",28,1994,23.1,58,2.51,35,16,0,1,5,1,5,0.22,4,1,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",320,"/en/players/84afeaff/George-Honeyman","eng ENG","MF","Millwall",28,1994,23.1,70,45,26,34,10,31,70,44.3,39,28,0,28,26,96,29,2,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
321,"Sydney van Hooijdonk","/en/players/5b418e15/Sydney-van-Hooijdonk","nl NED","FW,MF","Norwich City",23,2000,10,0,130,1.4,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,1,2,7,0,0.69,0.69,0,0.69,0.07,0.18,0.25,0.07,0.25,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",321,"/en/players/5b418e15/Sydney-van-Hooijdonk","nl NED","FW,MF","Norwich City",23,2000,1.4,0,1,0,0,0.69,0,0,NA,9.5,0,0,0,0.1,0.1,0.1,-0.1,-0.1,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",321,"/en/players/5b418e15/Sydney-van-Hooijdonk","nl NED","FW,MF","Norwich City",23,2000,1.4,0,0,0,5,2,2,1,0,0,0,0,0,4,2,4,33.3,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",321,"/en/players/5b418e15/Sydney-van-Hooijdonk","nl NED","FW,MF","Norwich City",23,2000,1.4,6,4.15,5,0,0,1,0,0,2,1.38,2,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",321,"/en/players/5b418e15/Sydney-van-Hooijdonk","nl NED","FW,MF","Norwich City",23,2000,1.4,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
322,"Ethan Horvath","/en/players/3f65d5ce/Ethan-Horvath","us USA","GK","Cardiff City",28,1995,16,16,1440,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",322,"/en/players/3f65d5ce/Ethan-Horvath","us USA","GK","Cardiff City",28,1995,16,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",322,"/en/players/3f65d5ce/Ethan-Horvath","us USA","GK","Cardiff City",28,1995,16,0,0,0,0,1,0,0,0,0,0,0,0,14,1,0,100,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",322,"/en/players/3f65d5ce/Ethan-Horvath","us USA","GK","Cardiff City",28,1995,16,2,0.12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",322,"/en/players/3f65d5ce/Ethan-Horvath","us USA","GK","Cardiff City",28,1995,16,2,0,2,0,0,0,0,NA,0,0,0,0,0,2,4,1,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
323,"Jordan Houghton","/en/players/9976d562/Jordan-Houghton","eng ENG","MF","Plymouth Argyle",27,1995,40,32,2862,31.8,0,0,0,0,0,0,6,0,1.2,1.2,1.6,2.8,11,147,37,0,0,0,0,0,0.04,0.05,0.09,0.04,0.09,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",323,"/en/players/9976d562/Jordan-Houghton","eng ENG","MF","Plymouth Argyle",27,1995,31.8,0,13,6,46.2,0.41,0.19,0,0,16.9,0,0,0,1.2,1.2,0.09,-1.2,-1.2,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",323,"/en/players/9976d562/Jordan-Houghton","eng ENG","MF","Plymouth Argyle",27,1995,31.8,6,0,0,41,38,1,60,24,28,0,0,0,181,38,52,42.2,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",323,"/en/players/9976d562/Jordan-Houghton","eng ENG","MF","Plymouth Argyle",27,1995,31.8,65,2.04,46,14,1,1,0,3,2,0.06,2,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",323,"/en/players/9976d562/Jordan-Houghton","eng ENG","MF","Plymouth Argyle",27,1995,31.8,53,28,16,32,5,21,44,47.7,23,46,21,25,24,77,52,1,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
324,"Jonny Howson","/en/players/08b10f50/Jonny-Howson","eng ENG","MF","Middlesbrough",35,1988,38,35,3092,34.4,2,2,4,1,1,2,9,0,2.2,0.6,4.5,5.1,44,192,36,0.06,0.06,0.12,0.03,0.09,0.06,0.13,0.19,0.02,0.15,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",324,"/en/players/08b10f50/Jonny-Howson","eng ENG","MF","Middlesbrough",35,1988,34.4,2,23,8,34.8,0.67,0.23,0.04,0.13,27,0,1,2,2.2,0.6,0.02,-0.2,0.4,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",324,"/en/players/08b10f50/Jonny-Howson","eng ENG","MF","Middlesbrough",35,1988,34.4,9,0,0,27,24,0,79,34,33,0,0,0,217,16,23,41,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",324,"/en/players/08b10f50/Jonny-Howson","eng ENG","MF","Middlesbrough",35,1988,34.4,116,3.38,86,23,1,4,1,1,6,0.17,5,0,1,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",324,"/en/players/08b10f50/Jonny-Howson","eng ENG","MF","Middlesbrough",35,1988,34.4,53,33,20,32,1,26,53,49.1,27,30,10,20,34,87,51,2,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
325,"Kyle Hudlin","/en/players/9d4a320a/Kyle-Hudlin","eng ENG","FW","Huddersfield",23,2000,9,2,279,3.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,5,10,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",325,"/en/players/9d4a320a/Kyle-Hudlin","eng ENG","FW","Huddersfield",23,2000,3.1,0,4,1,25,1.29,0.32,0,0,18,0,0,0,0.1,0.1,0.04,-0.1,-0.1,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",325,"/en/players/9d4a320a/Kyle-Hudlin","eng ENG","FW","Huddersfield",23,2000,3.1,0,0,0,5,5,4,0,2,1,0,0,0,5,29,17,63,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",325,"/en/players/9d4a320a/Kyle-Hudlin","eng ENG","FW","Huddersfield",23,2000,3.1,2,0.65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",325,"/en/players/9d4a320a/Kyle-Hudlin","eng ENG","FW","Huddersfield",23,2000,3.1,2,1,1,1,0,0,1,0,1,4,0,4,2,4,4,0,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
326,"Niall Huggins","/en/players/6d646ff7/Niall-Huggins","wls WAL","DF","Sunderland",22,2000,19,17,1330,14.8,1,1,2,1,0,0,1,0,0.6,0.6,0.6,1.2,50,67,71,0.07,0.07,0.14,0.07,0.14,0.04,0.04,0.08,0.04,0.08,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",326,"/en/players/6d646ff7/Niall-Huggins","wls WAL","DF","Sunderland",22,2000,14.8,1,7,3,42.9,0.47,0.2,0.14,0.33,16.2,0,0,0,0.6,0.6,0.08,0.4,0.4,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",326,"/en/players/6d646ff7/Niall-Huggins","wls WAL","DF","Sunderland",22,2000,14.8,1,0,0,6,13,1,12,22,13,0,0,0,91,12,33,26.7,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",326,"/en/players/6d646ff7/Niall-Huggins","wls WAL","DF","Sunderland",22,2000,14.8,25,1.69,17,0,4,2,2,0,4,0.27,3,0,1,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",326,"/en/players/6d646ff7/Niall-Huggins","wls WAL","DF","Sunderland",22,2000,14.8,27,13,15,8,4,19,35,54.3,16,15,4,11,22,49,34,0,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
327,"Andrew Hughes","/en/players/18a6749d/Andrew-Hughes","wls WAL","DF","Preston",31,1992,39,35,3144,34.9,1,2,3,1,0,0,5,0,1.1,1.1,1,2.1,40,143,48,0.03,0.06,0.09,0.03,0.09,0.03,0.03,0.06,0.03,0.06,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",327,"/en/players/18a6749d/Andrew-Hughes","wls WAL","DF","Preston",31,1992,34.9,1,18,5,27.8,0.52,0.14,0.06,0.2,16.8,0,0,0,1.1,1.1,0.06,-0.1,-0.1,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",327,"/en/players/18a6749d/Andrew-Hughes","wls WAL","DF","Preston",31,1992,34.9,5,0,0,37,26,2,39,38,40,0,0,1,175,111,61,64.5,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",327,"/en/players/18a6749d/Andrew-Hughes","wls WAL","DF","Preston",31,1992,34.9,40,1.15,33,2,0,2,2,1,4,0.11,3,0,0,0,1,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",327,"/en/players/18a6749d/Andrew-Hughes","wls WAL","DF","Preston",31,1992,34.9,62,40,38,16,8,34,59,57.6,25,40,16,24,38,100,114,0,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
328,"Jordan Hugill","/en/players/a36d4785/Jordan-Hugill","eng ENG","FW","Rotherham Utd",31,1992,39,29,2334,25.9,5,1,6,5,0,0,6,0,3.3,3.3,3.1,6.4,10,37,68,0.19,0.04,0.23,0.19,0.23,0.13,0.12,0.25,0.13,0.25,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",328,"/en/players/a36d4785/Jordan-Hugill","eng ENG","FW","Rotherham Utd",31,1992,25.9,5,34,10,29.4,1.31,0.39,0.15,0.5,16.2,0,0,0,3.3,3.3,0.1,1.7,1.7,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",328,"/en/players/a36d4785/Jordan-Hugill","eng ENG","FW","Rotherham Utd",31,1992,25.9,6,0,0,65,51,13,7,2,1,0,0,0,41,161,204,44.1,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",328,"/en/players/a36d4785/Jordan-Hugill","eng ENG","FW","Rotherham Utd",31,1992,25.9,36,1.39,25,0,0,2,9,0,2,0.08,2,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",328,"/en/players/a36d4785/Jordan-Hugill","eng ENG","FW","Rotherham Utd",31,1992,25.9,6,1,0,6,0,2,7,28.6,5,13,4,9,2,8,27,1,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
329,"Trai Hume","/en/players/4fa3a3a4/Trai-Hume","nir NIR","DF","Sunderland",21,2002,46,45,4066,45.2,1,1,2,1,0,0,14,1,2.1,2.1,2,4,78,217,145,0.02,0.02,0.04,0.02,0.04,0.05,0.04,0.09,0.05,0.09,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",329,"/en/players/4fa3a3a4/Trai-Hume","nir NIR","DF","Sunderland",21,2002,45.2,1,36,12,33.3,0.8,0.27,0.03,0.08,19.9,0,0,0,2.1,2.1,0.06,-1.1,-1.1,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",329,"/en/players/4fa3a3a4/Trai-Hume","nir NIR","DF","Sunderland",21,2002,45.2,14,1,1,49,41,5,103,64,97,0,0,0,244,92,63,59.4,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",329,"/en/players/4fa3a3a4/Trai-Hume","nir NIR","DF","Sunderland",21,2002,45.2,83,1.84,67,1,2,7,5,1,2,0.04,2,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",329,"/en/players/4fa3a3a4/Trai-Hume","nir NIR","DF","Sunderland",21,2002,45.2,152,97,73,68,11,90,159,56.6,69,78,28,50,64,216,100,1,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
330,"Bashir Humphreys","/en/players/d2b32e91/Bashir-Humphreys","eng ENG","DF","Swansea City",20,2003,24,22,1893,21,1,0,1,1,0,0,2,0,0.4,0.4,0.1,0.5,25,68,19,0.05,0,0.05,0.05,0.05,0.02,0.01,0.02,0.02,0.02,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",330,"/en/players/d2b32e91/Bashir-Humphreys","eng ENG","DF","Swansea City",20,2003,21,1,8,2,25,0.38,0.1,0.13,0.5,14.8,0,0,0,0.4,0.4,0.05,0.6,0.6,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",330,"/en/players/d2b32e91/Bashir-Humphreys","eng ENG","DF","Swansea City",20,2003,21,2,0,0,8,21,0,6,21,17,0,0,0,100,28,28,50,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",330,"/en/players/d2b32e91/Bashir-Humphreys","eng ENG","DF","Swansea City",20,2003,21,6,0.29,5,0,0,1,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",330,"/en/players/d2b32e91/Bashir-Humphreys","eng ENG","DF","Swansea City",20,2003,21,22,17,14,6,2,17,31,54.8,14,28,13,15,21,43,74,0,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
331,"Cameron Humphreys","/en/players/28e65539/Cameron-Humphreys","eng ENG","DF","Rotherham Utd",24,1998,25,23,2028,22.5,0,1,1,0,0,0,5,0,0,0,0.6,0.7,9,47,2,0,0.04,0.04,0,0.04,0,0.03,0.03,0,0.03,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",331,"/en/players/28e65539/Cameron-Humphreys","eng ENG","DF","Rotherham Utd",24,1998,22.5,0,1,0,0,0.04,0,0,NA,12.8,0,0,0,0,0,0.02,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",331,"/en/players/28e65539/Cameron-Humphreys","eng ENG","DF","Rotherham Utd",24,1998,22.5,5,0,0,12,3,0,2,32,11,0,1,0,96,35,24,59.3,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",331,"/en/players/28e65539/Cameron-Humphreys","eng ENG","DF","Rotherham Utd",24,1998,22.5,11,0.49,10,0,0,0,1,0,2,0.09,2,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",331,"/en/players/28e65539/Cameron-Humphreys","eng ENG","DF","Rotherham Utd",24,1998,22.5,20,11,14,6,0,15,21,71.4,6,26,17,9,32,52,104,1,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
331,"Cameron Humphreys","/en/players/28e65539/Cameron-Humphreys","eng ENG","DF","Rotherham Utd",24,1998,25,23,2028,22.5,0,1,1,0,0,0,5,0,0,0,0.6,0.7,9,47,2,0,0.04,0.04,0,0.04,0,0.03,0.03,0,0.03,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",331,"/en/players/28e65539/Cameron-Humphreys","eng ENG","DF","Rotherham Utd",24,1998,22.5,0,1,0,0,0.04,0,0,NA,12.8,0,0,0,0,0,0.02,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",331,"/en/players/28e65539/Cameron-Humphreys","eng ENG","DF","Rotherham Utd",24,1998,22.5,5,0,0,12,3,0,2,32,11,0,1,0,96,35,24,59.3,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",331,"/en/players/28e65539/Cameron-Humphreys","eng ENG","DF","Rotherham Utd",24,1998,22.5,11,0.49,10,0,0,0,1,0,2,0.09,2,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",332,"/en/players/6068431b/Cameron-Humphreys","eng ENG","DF","Ipswich Town",19,2003,1.1,2,1,1,1,0,2,6,33.3,4,5,0,5,2,4,6,0,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
331,"Cameron Humphreys","/en/players/28e65539/Cameron-Humphreys","eng ENG","DF","Rotherham Utd",24,1998,25,23,2028,22.5,0,1,1,0,0,0,5,0,0,0,0.6,0.7,9,47,2,0,0.04,0.04,0,0.04,0,0.03,0.03,0,0.03,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",331,"/en/players/28e65539/Cameron-Humphreys","eng ENG","DF","Rotherham Utd",24,1998,22.5,0,1,0,0,0.04,0,0,NA,12.8,0,0,0,0,0,0.02,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",331,"/en/players/28e65539/Cameron-Humphreys","eng ENG","DF","Rotherham Utd",24,1998,22.5,5,0,0,12,3,0,2,32,11,0,1,0,96,35,24,59.3,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",332,"/en/players/6068431b/Cameron-Humphreys","eng ENG","DF","Ipswich Town",19,2003,1.1,5,4.74,4,1,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",331,"/en/players/28e65539/Cameron-Humphreys","eng ENG","DF","Rotherham Utd",24,1998,22.5,20,11,14,6,0,15,21,71.4,6,26,17,9,32,52,104,1,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
331,"Cameron Humphreys","/en/players/28e65539/Cameron-Humphreys","eng ENG","DF","Rotherham Utd",24,1998,25,23,2028,22.5,0,1,1,0,0,0,5,0,0,0,0.6,0.7,9,47,2,0,0.04,0.04,0,0.04,0,0.03,0.03,0,0.03,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",331,"/en/players/28e65539/Cameron-Humphreys","eng ENG","DF","Rotherham Utd",24,1998,22.5,0,1,0,0,0.04,0,0,NA,12.8,0,0,0,0,0,0.02,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",331,"/en/players/28e65539/Cameron-Humphreys","eng ENG","DF","Rotherham Utd",24,1998,22.5,5,0,0,12,3,0,2,32,11,0,1,0,96,35,24,59.3,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",332,"/en/players/6068431b/Cameron-Humphreys","eng ENG","DF","Ipswich Town",19,2003,1.1,5,4.74,4,1,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",332,"/en/players/6068431b/Cameron-Humphreys","eng ENG","DF","Ipswich Town",19,2003,1.1,2,1,1,1,0,2,6,33.3,4,5,0,5,2,4,6,0,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
